
2024/10/03 (23:49:17) | ===> btop++ v.1.4.0
2024/10/03 (23:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (00:52:44) | ===> btop++ v.1.4.0
2024/10/04 (00:52:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (23:26:01) | ===> btop++ v.1.4.0
2024/10/04 (23:26:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (03:02:32) | ===> btop++ v.1.4.0
2024/10/05 (03:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (15:17:20) | ===> btop++ v.1.4.0
2024/10/06 (15:17:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (16:18:05) | ===> btop++ v.1.4.0
2024/10/07 (16:18:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/08 (14:13:42) | ===> btop++ v.1.4.0
2024/10/08 (14:13:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (16:08:00) | ===> btop++ v.1.4.0
2024/10/09 (16:08:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (22:50:26) | ===> btop++ v.1.4.0
2024/10/12 (22:50:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:13:23) | ===> btop++ v.1.4.0
2024/10/13 (19:13:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:41:33) | ===> btop++ v.1.4.0
2024/10/13 (19:41:33) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/13 (19:41:39) | ERROR: Stall in Runner thread, restarting!
2024/10/13 (19:42:19) | ERROR: Stall in Runner thread, restarting!

2024/10/13 (19:44:04) | ===> btop++ v.1.4.0
2024/10/13 (19:44:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:46:25) | ===> btop++ v.1.4.0
2024/10/13 (19:46:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:48:18) | ===> btop++ v.1.4.0
2024/10/13 (19:48:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:48:32) | ===> btop++ v.1.4.0
2024/10/13 (19:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:53:03) | ===> btop++ v.1.4.0
2024/10/13 (19:53:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:54:24) | ===> btop++ v.1.4.0
2024/10/13 (19:54:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:57:46) | ===> btop++ v.1.4.0
2024/10/13 (19:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (20:14:16) | ===> btop++ v.1.4.0
2024/10/13 (20:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (00:11:45) | ===> btop++ v.1.4.0
2024/10/14 (00:11:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (02:07:17) | ===> btop++ v.1.4.0
2024/10/14 (02:07:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (02:10:29) | ===> btop++ v.1.4.0
2024/10/14 (02:10:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:24:01) | ===> btop++ v.1.4.0
2024/10/14 (11:24:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (11:24:19) | ===> btop++ v.1.4.0
2024/10/14 (11:24:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:19:44) | ===> btop++ v.1.4.0
2024/10/14 (14:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (14:43:45) | ===> btop++ v.1.4.0
2024/10/14 (14:43:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (15:28:52) | ===> btop++ v.1.4.0
2024/10/14 (15:28:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (15:31:35) | ===> btop++ v.1.4.0
2024/10/14 (15:31:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (16:10:54) | ===> btop++ v.1.4.0
2024/10/14 (16:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (19:05:53) | ===> btop++ v.1.4.0
2024/10/14 (19:05:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (19:08:00) | ===> btop++ v.1.4.0
2024/10/14 (19:08:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (17:17:21) | ===> btop++ v.1.4.0
2024/10/15 (17:17:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (18:10:49) | ===> btop++ v.1.4.0
2024/10/15 (18:10:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (00:54:22) | ===> btop++ v.1.4.0
2024/10/17 (00:54:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (01:40:42) | ===> btop++ v.1.4.0
2024/10/17 (01:40:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (01:41:17) | ===> btop++ v.1.4.0
2024/10/17 (01:41:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:57:33) | ===> btop++ v.1.4.0
2024/10/17 (22:57:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (23:25:30) | ===> btop++ v.1.4.0
2024/10/17 (23:25:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:05:52) | ===> btop++ v.1.4.0
2024/10/18 (15:05:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:30:00) | ===> btop++ v.1.4.0
2024/10/18 (15:30:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:37:20) | ===> btop++ v.1.4.0
2024/10/18 (15:37:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:41:22) | ===> btop++ v.1.4.0
2024/10/18 (15:41:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (15:50:33) | ===> btop++ v.1.4.0
2024/10/18 (15:50:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:12:27) | ===> btop++ v.1.4.0
2024/10/18 (16:12:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:17:13) | ===> btop++ v.1.4.0
2024/10/18 (16:17:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:09:05) | ===> btop++ v.1.4.0
2024/10/18 (19:09:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:14:51) | ===> btop++ v.1.4.0
2024/10/18 (19:14:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:18:51) | ===> btop++ v.1.4.0
2024/10/18 (19:18:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:19:25) | ===> btop++ v.1.4.0
2024/10/18 (19:19:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:21:00) | ===> btop++ v.1.4.0
2024/10/18 (19:21:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:21:07) | ===> btop++ v.1.4.0
2024/10/18 (19:21:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:35:00) | ===> btop++ v.1.4.0
2024/10/18 (19:35:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:35:09) | ===> btop++ v.1.4.0
2024/10/18 (19:35:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:35:14) | ===> btop++ v.1.4.0
2024/10/18 (19:35:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:35:25) | ===> btop++ v.1.4.0
2024/10/18 (19:35:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:37:50) | ===> btop++ v.1.4.0
2024/10/18 (19:37:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:37:52) | ===> btop++ v.1.4.0
2024/10/18 (19:37:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (16:31:51) | ===> btop++ v.1.4.0
2024/10/19 (16:31:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (17:57:34) | ===> btop++ v.1.4.0
2024/10/19 (17:57:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (17:59:07) | ===> btop++ v.1.4.0
2024/10/19 (17:59:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (18:47:30) | ===> btop++ v.1.4.0
2024/10/19 (18:47:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (19:32:57) | ===> btop++ v.1.4.0
2024/10/19 (19:32:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (23:43:06) | ===> btop++ v.1.4.0
2024/10/19 (23:43:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (03:24:32) | ===> btop++ v.1.4.0
2024/10/20 (03:24:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (04:00:32) | ===> btop++ v.1.4.0
2024/10/20 (04:00:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (04:25:11) | ===> btop++ v.1.4.0
2024/10/20 (04:25:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:44:08) | ===> btop++ v.1.4.0
2024/10/20 (16:44:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:07:36) | ===> btop++ v.1.4.0
2024/10/20 (17:07:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:27:41) | ===> btop++ v.1.4.0
2024/10/20 (17:27:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:51:48) | ===> btop++ v.1.4.0
2024/10/20 (17:51:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (18:55:48) | ===> btop++ v.1.4.0
2024/10/20 (18:55:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (23:55:55) | ===> btop++ v.1.4.0
2024/10/20 (23:55:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (00:50:58) | ===> btop++ v.1.4.0
2024/10/21 (00:50:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (00:51:02) | ===> btop++ v.1.4.0
2024/10/21 (00:51:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (01:51:28) | ===> btop++ v.1.4.0
2024/10/21 (01:51:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (03:07:30) | ===> btop++ v.1.4.0
2024/10/21 (03:07:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (13:16:57) | ===> btop++ v.1.4.0
2024/10/21 (13:16:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (13:32:48) | ===> btop++ v.1.4.0
2024/10/21 (13:32:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (15:47:44) | ===> btop++ v.1.4.0
2024/10/21 (15:47:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (01:48:35) | ===> btop++ v.1.4.0
2024/10/22 (01:48:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (15:01:29) | ===> btop++ v.1.4.0
2024/10/22 (15:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (16:49:17) | ===> btop++ v.1.4.0
2024/10/22 (16:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (03:03:46) | ===> btop++ v.1.4.0
2024/10/23 (03:03:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (19:34:15) | ===> btop++ v.1.4.0
2024/10/23 (19:34:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (22:52:57) | ===> btop++ v.1.4.0
2024/10/23 (22:52:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (17:45:03) | ===> btop++ v.1.4.0
2024/10/26 (17:45:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (19:27:48) | ===> btop++ v.1.4.0
2024/10/26 (19:27:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (23:44:57) | ===> btop++ v.1.4.0
2024/10/26 (23:44:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:42:50) | ===> btop++ v.1.4.0
2024/10/29 (16:42:50) | WARNING: Intel GPU: Failed to initialize PMU
